DATE,DAY_OF_WEEK,AIRLINE_CODE,AIRLINE_COMPANY,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED
2015-08-17,1,AA,American Airlines Inc.,1293,N3GFAA,STX,MIA,Henry E. Rohlsen Airport,Christiansted,VI,17.70189,-64.79856,15:50:00,15:49:00,23:59:00,02:55:00,0 days 03:05:00,0 days 02:23:00,1139,1125,1134.0,9.0,0,0
2015-10-29,4,DL,Delta Air Lines Inc.,1372,N954AT,TXK,ROW,Texarkana Regional Airport (Webb Field),Texarkana,AR,33.45371,-93.99102,12:16:00,12:16:00,00:00:00,01:38:00,0 days 01:31:00,0 days 01:13:00,440,774,767.0,-7.0,0,0
2015-06-07,7,US,US Airways Inc.,1901,N192UW,CLT,SEA,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,22:15:00,22:13:00,23:58:00,05:25:00,0 days 05:24:00,0 days 05:03:00,2279,40,37.0,-3.0,0,0
2015-09-23,3,OO,Skywest Airlines Inc.,4460,N953SW,LWS,SLC,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539,12:00:00,11:52:00,23:52:00,01:29:00,0 days 02:04:00,0 days 01:04:00,461,869,896.0,27.0,0,0
2015-04-26,7,WN,Southwest Airlines Co.,3576,N936WN,LAX,SJC,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,18:15:00,18:24:00,00:09:00,01:05:00,0 days 01:07:00,0 days 00:53:00,308,1160,1171.0,11.0,0,0
2015-03-19,4,DL,Delta Air Lines Inc.,1316,N922DX,BOI,MSP,Boise Airport (Boise Air Terminal),Boise,ID,43.56444,-116.22278,05:30:00,07:08:00,01:38:00,02:43:00,0 days 02:36:00,0 days 02:15:00,1142,553,644.0,91.0,0,0
2015-10-21,3,WN,Southwest Airlines Co.,196,N787SA,BDL,BIL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323,13:55:00,13:52:00,23:57:00,01:10:00,0 days 01:05:00,0 days 00:46:00,283,965,957.0,-8.0,0,0
2015-11-20,5,AA,American Airlines Inc.,61,N380AA,MIA,DFW,Miami International Airport,Miami,FL,25.79325,-80.29056,09:00:00,08:59:00,23:59:00,03:21:00,0 days 03:10:00,0 days 02:40:00,1121,681,669.0,-12.0,0,0
2015-09-21,1,AA,American Airlines Inc.,1667,N4UCAA,DFW,DEN,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,09:51:00,09:47:00,23:56:00,02:01:00,0 days 01:54:00,0 days 01:37:00,641,652,641.0,-11.0,0,0
2015-12-12,6,AA,American Airlines Inc.,1145,N3FUAA,SFO,ORD,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,11:04:00,10:57:00,23:53:00,04:35:00,0 days 04:06:00,0 days 03:39:00,1846,1059,1023.0,-36.0,0,0
2015-04-04,6,US,US Airways Inc.,1834,N561UW,CLT,SJU,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,18:15:00,18:34:00,00:19:00,03:41:00,0 days 03:36:00,0 days 03:04:00,1475,1316,1330.0,14.0,0,0
2015-02-20,5,WN,Southwest Airlines Co.,3945,N478WN,STL,DTW,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999,18:50:00,19:07:00,00:17:00,01:25:00,0 days 01:57:00,0 days 01:05:00,440,1275,1324.0,49.0,0,0
2015-12-31,4,OO,Skywest Airlines Inc.,6479,N752SK,LAX,JAC,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,08:18:00,08:16:00,23:58:00,02:23:00,0 days 02:11:00,0 days 01:47:00,784,701,687.0,-14.0,0,0
2015-06-23,2,UA,United Air Lines Inc.,1725,N75851,SFO,OGG,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,09:20:00,09:24:00,00:04:00,05:25:00,0 days 05:20:00,0 days 04:53:00,2338,705,704.0,-1.0,0,0
2015-12-05,6,WN,Southwest Airlines Co.,3711,N787SA,SJC,SNA,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,06:30:00,06:27:00,23:57:00,01:20:00,0 days 01:16:00,0 days 00:56:00,342,470,463.0,-7.0,0,0
